,sentence,classification,tokens
0,왼쪽이나 명치쪽은 아픈게 전혀 느껴지질 않습니다.,b6,왼쪽 이나 명치 쪽 은 아프다 전혀 느껴지다 않다
110,그리고 몇달 괜찮다가 또 소화불량에 속쓰림에 이번엔 한의원을 갔더니 가슴명치에 응어리가 졌다고 스트레스를 스스로 잘 풀라고 하면서 약을 두번 지어먹었는데 약 먹는 동안과 그 후에도 괜찮았어요.,b6,그리고 몇 달 괜찮다 또 소화 불량 에 속 쓰리다 이번 엔 한의원 을 가다 가슴 명치 에   응어리 가 지다   스트레스 를 스스로 자다 풀라 고 하다 약 을 두 번 지다 먹다 약 먹다 동안 과 그 후 에도 괜찮다
301,오른쪽 아래 부분이 가장 많이 아프고 가운데 명치 끝이 아팠습니다.,b6,오른쪽 아래 부분 이 가장 많이 아프다 가운데 명치 끝 이 아프다
59,병원가서 내시경해봐도 괜찮다고하고변비로 아랫배도 아프고소장 명치 딱딱하고 오장육부가 퉁퉁 부어있는 느낌이고 변을 볼려고 힘들줘야하는데 힘주는것도 너무 아픔니다.,b6,병원 가다 내시경 해보다 괜찮다 변비 로 아랫 배 도 아프다 고소장 명치 딱딱하다 오장육부 가 퉁퉁 부다 느낌 이고 변 을 보다 힘들다 힘주다 너무 아프다
218,그후 명치도 답답하고 오른쪽 갈비뼈아래가 뭐가 꽉막힌거마냥아프고 같은위치 등쪽도 아파요.,b6,그 후 명치 도 답답하다 오른쪽 갈비뼈 아래 가 뭐 가 꽉 막히다 거마 냥 아프다 같다 위치 등쪽 도 아프다
365,배 꾹꾹 누루셨고 명치만 아팠습니다.,b6,배 꾹꾹 누루셨 고 명치 만 아프다
58,가슴에서 명치부분이 답답한것 뿐만 아니라 심할땐 목에 이물감이 생기고 심하진 않지만 평소보다 숨쉬기가 더 힘든것같은 느낌도 듭니다.,b6,가슴 에서 명치 부분 이 답답하다 뿐 만 아니다 심하다 땐 목 에 이 물감 이 생기 고 심하다 않다 평소 보다 숨쉬기 가 더 힘드다 같다 느낌 도 듭니 다
140,정확히뭐가아픈건지 잘모르겠는데 속더부룩함혹은포만감 명치근처계속대변보고싶은느낌 구토하고싶은데안나오고똑바로누워있으면 속이쓰린건지 공복시에 느끼는 통증같은게있거든요대변을봤는데도 장쪽에서 계속 대변보고픈 느낌이납니다.,b6,정확하다 뭐 가 아프다 건지다 잘 모르다 속 더부룩하다 혹은 포만 감 명치 근처 계 속 대변 보다 느낌 구토 하다 안나 오다 똑바로 눕다 속이다 쓰리다 건지다 공복 시 에 느끼다 통증 같다 있다 대변 을 보다 장쪽 에서 계속 대변 보 고프다 느낌 이 나다
331,진짜 명치아프면 위암이라길래 좀 무섭네요.,b6,진짜 명치 아프다 위암 이르다 좀 무섭다
202,일주일 내내 명치쪽에 압박감과 구토감을 느끼고있으며 설사를 하고있습니다.,b6,일주일 내내 명치 쪽 에 압박 감 과 구토 감 을 느끼다 설사 를 하다
192,명치쪽이 답답했습니다.,b6,명치 쪽 이 답답하다
310,최근에 자주 체하고 소화도 잘 안되고체하면 명치 아래 상복부가 많이 아픕니다.,b6,최근 에 자주 체 하고 소화도 자다 안되다 고체 하 면 명치 아래 상복 부가 많이 아프다
267,명치를 살짝만 눌러도 불편한 정도 점점 기력도 없어지구그리고 멀미처럼 어질어질하고 한번씩 편두통이 왔다갔다해요.,b6,명치 를 살짝 만 누르다 불편하다 정도 점점 기력 도 없어지다 그리고 멀미 처럼 어질어질하다 한번 씩 편두통 이 오다 가다 다해 요
68,헛트름도 있고 상복부 명치쪽에서 꽉 막힌 느낌도 자주 들고 목에 걸려서 안내려가는 느낌이에요 배가 팽팽하게 찬 불쾌한 느낌도 많이 들고 왼쪽갈비뼈 쪽도 욱신거린다 해야하나요?,b6,헛트름 도 있다 상 복부 명치 쪽 에서 꽉 막히다 느낌 도 자주 들다 목 에 걸리다 안 내려가다 느낌 이에요 배 가 팽팽하 게 찬 불쾌하다 느낌 도 많이 들다 왼쪽 갈비뼈 쪽 도 욱 신다 린다 하다
289,왜이러는거죠 병원을가보는게좋겠죠 명치쪽은 평상시에도 조금씩 통증이있었어요.,b6,왜 이르다 병원 을 가보다 좋다 명치 쪽 은 평상시 에도 조금씩 통증 이 있다
117,특히 명치랑 배꼽주위 한바퀴 손가락으로 눌러보면 아픕니다.,b6,특히 명치 랑 배꼽 주위 한 바퀴 손가락 으로 누르다 보다 아프다
34,배를 눌러보면 명치이래배꼽사이와 그 왼쪽이 제일 불편하네요.,b6,배 를 누르다 보다 명치 이래 배꼽 사이 와 그 왼쪽 이 제일 불편하다
150,명치쪽이 차있는 기분이구요.,b6,명치 쪽 이 차다 기분 이구 요
127,그후로 위가 조금 쓰리고 명치쪽이 답답하니 소화불량같았습니다.,b6,그 후 로 위 가 조금 쓰리다 명치 쪽 이 답답하다 소화 불량 같다
167,"그 전부터도 소화가 잘 되지않거나 명치부분이 답답하곤했는데,올해 들어부터 증상이 심해진듯합니다.",b6,그 전 부터도 소화 가 자다 되다 않다 명치 부분 이 답답하다 하다 올해 들다 증상 이 심해지다 하다
69,명치도 아프고 근데 체한거같진않아요.,b6,명치 도 아프다 근데 체 한 거 같다 않다
116,명치통증도있고명치쪽이답답하고 배에도통증이있었는데 지금은 등쪽 이아픈데 채한건가요?,b6,명치 통증 도 있다 명치 쪽 이 답답하다 배 에도 통증 이 있다 지금 은 등쪽 이 아프다 채 한 건가 요
237,배가 더부룩한것같고 명치도 누르면 아프고배쪽도 누르면 아프네요.,b6,배 가 더부룩하다 같다 명치 도 누르다 아프다 고배 쪽 도 누르다 아프다
366,지난 이틀정도 면접보고 난 후에 긴장이 풀려서 명치가 너무 아프더라구요.,b6,지난 이틀 정도 면접 보고 난 후 에 긴장 이 풀다 명치 가 너무 아프다
22,예전에는 왼쪽 상복부와 명치부근이 갑갑했었는데 이렇게 아랫배가 아픈것은 또 처음이네요.,b6,예전 에는 왼쪽 상복 부와 명치 부근 이 갑갑하다 이렇게 아랫 배 가 아프다 또 처음 이네 요
211,조금의 어지러움과 명치밑좀아래 쪽이 아프다고했습니다.,b6,조금 의 어지러움 과 명치 밑좀 아래 쪽 이 아프다 하다
161,변기앞에만 가면 자동으로 막~술먹고도 그렇게 많이 토해본적이없는데 점심꺼까지 비워내고 나니 밥알이 고대로 나왔음조금 나아지긴 했는데 아직도 속이 안좋고 명치랑 아랫배가 살살 아프기 시작하네요.,b6,변기 앞 에만 가면 자동 으로 막 술 먹고다 그렇게 많이 토 해보다 적 이 없다 점심 꺼 까지 비우다 나니 밥알 이 고대로 나오다 조금 나아지다 하다 아직도 속이다 안좋다 명치 랑 아랫 배 가 살살 아프다 시작 하다
265,엊그제는 명치쪽에 통증이 심했는데 몇시간 뒤에 통증은 완화되었는데 통증이 아랫배쪽에도 있었구요.,b6,엊그제 는 명치 쪽 에 통증 이 심하다 몇 시간 뒤 에 통증 은 완화 되어다 통증 이 아랫 배쪽 에도 있다
285,할머니께서 메실타먹으면 나아질거라고해서 따뜻한물에 반컵정도 타먹었었는데 명치부근이 답답해지면서 마신거 다 토해냈고 설사도 했습니다.,b6,할머니 께서 메다 타 먹다 나아지다 하다 따뜻하다 물 에 반 컵 정도 타 먹다 명치 부근 이 답답하다 말다 다 토 해내다 설사 도 하다
322,1명치쪽에 돌덩어리가 있는거 처럼 답답합니다.,b6,1 명치 쪽 에 돌 덩어리 가 있다 처럼 답답하다
191,명치 오른쪽 뼈쪽을 누르면 통증이 심각함니다.,b6,명치 오른쪽 뼈쪽 을 누르다 통증 이 심각하다
152,어느 날 갑자기 자고일어났는데명치사이 윗배부터 밑에 배꼽밑에 배까지땡긴다고 해야하나 위가 구멍이 난듯한 느낌이랄까 아님 아프고 쓰리다고 해야하는건지 느낌은 소화가 안된것처럼 배가 더부룩 합니다.,b6,어느 날 갑자기 자고 일어나다 명치 사이 윗 배 부터 밑 에 배꼽 밑 에 배 까지 땡기다 하다 위 가 구멍 이 나다 한 느낌 이 랄 끄다 아니다 아프다 쓰리다 하다 건지다 느낌 은 소화 가 안되다 배 가 더부 룩 하다
142,명치부근이 엄청답답해요.,b6,명치 부근 이 엄청 답답하다
333,지금 같은 경우는 명치 바로 밑에 갈비뼈가 양쪽으로 갈라지는 부분 쪽에 불편함을 조금 느끼는 것 같고어쩔때는 대장쪽이 쿡쿡 쑤시는 듯한 느낌도 받고요.,b6,지금 같다 경우 는 명치 바로 밑 에 갈비뼈 가 양쪽 으로 갈라지다 부분 쪽 에 불편하다 조금 느끼다 것 같다 어쩔 때 는 대장 쪽 이 쿡쿡 쑤시다 듯 한 느낌 도 받다
79,명치 아래가 매우 딱딱하기도 합니다.,b6,명치 아래 가 매우 딱딱하다 하다
2,지금은 명치랑 그 조금아래에 통증이 있어요.,b6,지금 은 명치 랑 그 조금 아래 에 통증 이 있다
320,지금도 명치바로밑이 부은기붕이거든요 그 이후로 술도 먹고싶어도 속에서 안받아서 별로안먹고요.,b6,지금 도 명치 바로 밑 이 부다 기 붕 이 거들다 그 이후 로 술 도 먹다 속 에서 안 받다 별 로안 먹다
386,명치쪽이 너무 아프고배에서,b6,명치 쪽 이 너무 아프다 고배 에서
8,배는 명치밑에 윗배 쪽이 아프구요.,b6,배다 명치 밑 에 윗 배 쪽 이 아프다
340,음식을 넘기면 바로 더 더부룩해지고 음식을 넘길때 힘들진 않은데 위에 음식이 있는 상태에서 또 먹는 느낌이들어요.,b6,음식 을 넘기다 바로 더 더부룩하다 음식 을 넘다 때 힘들다 않다 위 에 음식 이 있다 상태 에서 또 먹다 느낌 이 들다
174,밥은잘먹지만 몇일전 너무힘든일도많이겹치고스트레스를 너무심하게많이받아서 밥도잘못먹고배가 명치에서 왼쪽으로 너무너무아프구요.,b6,밥 은 잘 먹다 몇 일전 너무 힘드다 일도 많이 겹 치고 스트레스 를 너 무심하다 많이 받다 밥 도 잘 못 먹다 배 가 명치 에서 왼쪽 으로 너무 너무 아프다
197,하루정도 고생하다가 음식도 조절해가며 좀 쉬니 괜찮아 지더군요 근데 요즘에 다시 명치쪽에 뭐가 걸린듯 답답하고 잘때도 신경이쓰여서 잘 못자겠어요.,b6,하루 정도 고생 하다 음식 도 조절 하다 좀 쉬다 괜찮다 지다   근데 요즘 에 다시 명치 쪽 에 뭐 가 걸리다 답답하다 자다 때 도 신경 이 쓰이다 자다 못자다
303,명치쪽이 아파서 내과가서 복부초음파한지 2주정도 된거같은데식후에갔는데도 막 검사하시더라구요.,b6,명치 쪽 이 아프다 내과 가다 복부 초음파 한지 2 주정 도 된거 같다 식후 에 가다 막 검사 하다
327,이런상태에서 관리를 않하면 바로 암으로 발전할 가망성이 있나요?,b6,이런 상태 에서 관리 를 않다 바로 암 으로 발전 하다 가망 성 이 있다
108,식욕도 그대로에 음식도 엄청 당기는데 평소 먹던 양의 반의 반만 먹어도 배가 너무 불러요 명치가 답답한 느낌이 들구요.,b6,식욕 도 그대로 에 음식 도 엄청 당기다 평소 먹다 양 의 반의 반 만 먹다 배 가 너무 불다   명치 가 답답하다 느낌 이 들다
330,매번자주가 아니라 가끔씩 명치만 아픕니다.,b6,매번 자 주가 아니다 가끔 씩 명치 만 아프다
377,배가 아프면 특히 위쪽인 명치 쪽이 자주 아파 보건 선생님이 말씀하시기를 위에 문제가 있는 것 같다 하셨고요.,b6,배 가 아프다 특히 위쪽 인 명치 쪽 이 자주 아프다 보건 선생님 이 말씀 하다 기르다 위 에 문제 가 있다 것 같다 하다
171,그런데 항상 배가 더부룩하고 소화가 잘안되 명치부분이 항상 답답합니다.,b6,그런데 항상 배 가 더부룩하다 소화 가 잘알다 명치 부분 이 항상 답답하다
295,황달수치는 왜올라가는건지 4 몇달전부터 명치부터 오른쪽갈비뼈 라인쪽 밑에가 계속 아프다 안아프다해서 초음파검사를했는데 아무이상이없다고합니다.,b6,황달 수치 는 왜 올라가다 건지다 4 몇 달다 명치 부터 오른쪽 갈비뼈 라인 쪽 밑 에가 계속 아프다 안 아프다 다해 서 초음파 검사 를 하다 아무 이상 이 없다 고합 니 다
105,아무튼 자꾸 명치쪽이 답답하다 하세요.,b6,아무튼 자꾸 명치 쪽 이 답답하다 하다
178,장염인가 싶었는데 장이 명치에 위치하지 않으니까 아닌거같고 왠만하면 아파도 움직이는데 솔직히 명치가 꼬일듯이 아픈날에는 한숨자고일어나도 가시질 않아요.,b6,장염 인가 싶다 장이 명치 에 위치 하다 않다   아니다 같다 왠만하다 아프다 움직이다 솔직하다 명치 가 꼬이다 아프다 날 에는 한숨 자 고 일어나다 갈다 않다
18,명치밑쪽을 배안에서 누가잡아당기는거처럼 그런고통이 자주오네요.,b6,명치 밑쪽 을 배다 누가 잡아당기다 그런 고통 이 자다
180,체하면 속이 더부룩하고 명치가 아프고 명치부분이 볼록해지고 평소 양치할때도 헛구역질을 많이하고 양치하다가 토하기도 합니다.,b6,체 하다 속이다 더부룩하다 명치 가 아프다 명치 부분 이 볼록하다 평소 양치 하다 때 도 헛구역질 을 많다 양치 하다 토 하다 하다
115,특히나 신경쓰이는 것은손발에 땀이 많이 난다는 것중학생때부터요즈음 자주 복부가 땡김 심할때는 명치 부분이 찌르는 것 처럼 통증이 느껴짐이 두가지인데요.,b6,특히 나 신경 쓰이다 것 은 손발 에 땀 이 많이 나다 것 중학생 때 부터 요즈음 자주 복부 가 땡기다 심하다 때 는 명치 부분 이 찌르다 것 처럼 통증 이 느껴지다 두 가지 인데 요
356,3일동안 과식을했더니 말그대로 명치아래가 아퍼요 트름도 잘안나오고 트름할라면 올라오고토할라고 하면 안나와요 명치아래가 바늘로 찌르듯이 아프고요.,b6,3일 동안 과식 을 하다   말 그대로 명치 아래 가 아프다 트름 도 잘 안 나오다 트름할라 면 올라오다 고토 하다 하다 안 나오다 명치 아래 가 바늘 로 찌르다 아프다
118,"어머니의 임종,형제간의 재산다툼,애인과의결혼문제로 의견이 맞지않은것등등 마지막 스트레스 화를 심하게 받은날 잠도 몇시간 못자고 식사도 대충 때우고 출근 해서 별로 먹기싫은 커피를 반잔을 마시고 차를몰고 외근을 나가다 갑자기 기가 막혀 숨이 멎을것같아죽을것 같은 생각이 들었고 겁이나서 차를돌려 회사로 오는중에도 침착하게마음을 가다듬고 복식호흡을 하며 합곡혈과 명치를 누르고 가까운 한의원을 가서 혈압을재보니엄청높게 나왔던기억나네요.",b6,어머니 의 임종 형제 간 의 재산 다툼 애인 과의 결혼 문제 로 의견 이 맞다 않다 등등   마지막 스트레스 화 를 심하다 받다 날 잠도 몇 시간 못자다 식사 도 대충 때우다 출근 하다 별로 먹기 싫다 커피 를 반잔 을 말다 차 를 몰다 외근 을 나가다 갑자기   기 가 막히다 숨 이 멎다 같다 죽다 같다 생각 이 들다 겁 이나 서 차 를 돌리다 회사 로 오는 중 에도 침착하다 마음 을 가다듬다 복식호흡 을 하다 합곡혈 과 명치 를 누르다 가깝다 한의원 을 가다 혈압 을 재 보다 엄청 높다 나오다 기억나다
372,가끔 아플때는 명치부분이 딱딱하기도하구요.,b6,가끔 아프다 때 는 명치 부분 이 딱딱하다 하다
263,2-3주 전에 명치부분과 양쪽 옆구리가 콕콕 찌르는 느낌을 받기는 했으나 그때뿐이고 현재는 가스가 가득찬 것 처럼 답답합니다.,b6,2-3 주 전 에 명치 부분 과 양쪽 옆구리 가 콕콕 찌르다 느낌 을 받다 하다 그때 뿐 이고 현재 는 가스 가 가득 찬 것 처럼 답답하다
290,제가 배는 병원을가도 뭘해도 몇십년전부터아파서 배아픈건 이제신경을 잘 안쓰는편인데 요번달들어서 배꼽밑에랑 명치쪽이랑 번갈아가면서 칼에찔린것처럼찔려보진않았지만 그만큼아파요.,b6,제 가 배다 병원 을 가도 뭘 하다 몇 십년 전 부터 아프다 배 아프다 이 제 신경 을 자다 안 쓰다 편 인데 요 번달 들어서다 배꼽 밑 에 랑 명치 쪽 이랑 번갈아 가면 서 칼 에 찔리다 찔리다 보다 않다 그만큼 아프다
6,명치 바로 아래 부분부터 배 완전 아랫부분까지 아픈 지 거의 이 년이 다 되어가는데 병원에서도 원인을 모른다고 하고 밀가루 음식을 좀 줄이니 그나마 낫네요.,b6,명치 바로 아래 부분 부터 배 완전 아랫 부분 까지 아프다 지다 거의 이 년 이 다 되어다 병원 에서도 원인 을 모르다 하다 밀가루 음식 을 좀 줄이다 그나마 낫다
278,그걸 먹고 있는데도 명치 통증은 없어질 생각을 안하네요.,b6,그걸 먹다 있다 명치 통증 은 없어지다 생각 을 안 하다
319,요근래 소화도 잘 안돼고 명치 아랫부분이 가끔 아프고목에 이물감이 느껴져요지금은 목이 너무 꽉 막힌느낌이라 굉장히 답답하고 숨도 막히는데 역류성 식도염인가요?,b6,요 근래 소화도 자다 안 돼다 명치 아랫 부분 이 가끔 아프다 고목 에 이 물감 이 느껴지다 지금 은 목 이 너무 꽉 막히다 느낌 이라 굉장하다 답답하다 숨다 막히다 역류성 식도염 인가요
91,증상은 명치가 꽉찬느낌에 누르면심장뛰는게 느껴질정도구요.,b6,증상 은 명치 가 꽉차다 느낌 에 누르다 심장 뛰다 느껴지다 정도 구 요
163,명치가 쿡쿡 찌르듯이 아프고 하루종일 소화도 안되네요.,b6,명치 가 쿡쿡 찌르다 아프다 하루 종일 소화도 안되다
235,착각하여 두알을 먹어 바로 구토하려고 한번 억지로 구토하였는데 녹지않은 알약이라던가 그런것은 나오지 않고 음식물만 조금 나왔습니다.,b6,착각 하다 두 알 을 먹다 바로 구토 하다 한번 억지로 구토 하다 녹지 않다 알약 이 라던가 그런 것 은 나오다 않다 음식물 만 조금 나오다
49,그 후 금요일 이후뭘 도무지 먹을 자신이 없어서 아주 묽은 죽만 먹고 있긴 하지만죽만 먹었는데도 배에서 심하게 꾸루룩 거리는 소리가 나고 날카로운 것으로 후비는 듯한 통증도 여전함 바로 자고 일어났을 때를 제외하고는 항상 머리가 멍 한게 어질 어질 합니다.,b6,그 후 금요일 이후 뭘 도무지 먹다 자신 이 없다 아주 묽다 죽 만 먹다 있다 하지만 죽 만 먹다 배 에서 심하다 꾸루룩 거리 는 소리 가 나다 날카롭다 것 으로 후비다 듯 한 통증 도 여전하다 바로 자고 일어나다 때 를 제외 하고는 항상 머리 가 멍 한 게 어질다 어질다 하다
326,토를하고나도 명치쪽 더부룩함이 상당히오래가는 편입니다.,b6,토 를 하다 명치 쪽 더부룩하다 상당하다 가다 편입 니 다
300,프라이드 치킨을먹고나서 그게 쫌 상한음식이였나봐야 질이안좋은음식그래서 체했는데 열이올라가고 명치쪽이쓰리고 그래서 응급실가서 치료를했는데3일동안 뜨거운 국물을먹으면 가슴이뜨겁고 그래서병원에서 진단해본결과 간수치가 800까지올랐다고 입원을 하라고해서3월6일날입원했습니다.,b6,프라이드 치킨 을 먹다 그게 쫌 상한 음식 이 이다 보다 질 이 안좋다 음식 그래서 체 하다 열 이 올라가다 명치 쪽 이 쓰리다 그래서 응급실 가다 치료 를 하다 3일 동안 뜨겁다 국물 을 먹다 가슴 이 뜨겁다 그래서 병원 에서 진단 해보다 결과 간수치 가 800 끄다 오르다 입원 을 하라 고해 서 3월 6일 날입원했습니다
390,처음에 넘길때 뭔가 이 매운게 넘어가는 경로가 느껴지더니 명치쪽에서 갑자기 매우심하게 아프다가 걷지도 서있지도 못하겠고,b6,처음 에 넘다 때 뭔가 이 맵다 넘어가다 경로 가   느껴지다 명치 쪽 에서 갑자기   매우 심하다 아프다 걷다 서다 못 하다
254,메스꺼울때 가끔 공기 삼켜서 하는 헛트림도 안되고명치를 막아놓은 느낌 위 입구를 막아놓고 계속 펌핑하는 것처럼 답답했고요.,b6,메스껍다 때 가끔 공기 삼키다 하다 헛트림 도 안되다 명치 를 막다 느낌 위 입구 를 막다 계속 펌핑하 는 것 처럼 답답하다
275,설사나 소변을보고난후에 명치가 미친듯이 아파요.,b6,설사 나 소변 을 보고 난후 에 명치 가 미치다 아프다
384,현재까지 총 4번 구토 명치쪽인 배 가운데 윗쪽가슴아래이 너무 아파요.,b6,현재 까지 총 4 번 구토 명치 쪽 인 배 가운데 윗쪽 가슴 아래 이 너무 아프다
242,명치가 계속 아프고 열도 심하게 납니다.,b6,명치 가 계속 아프다 열도 심하다 나다
31,근데 계속아픈것이아니라 명치밑부분이 아팟다가안아팟다가하는데 그주기가 오분이나 십분간격이고요.,b6,근데 계속 아프다 명치 밑 부분 이 아 팟 다가 안다 팟 다가 하다 그 주기 가 오분 이나 십분 간격 이 고요
109,느낌에 명치에 딱 중간부분에 뭐가 걸려있는듯한 느낌이에요.,b6,느낌 에 명치 에 딱 중간 부분 에 뭐 가 걸리다 한 느낌 이에요
159,무언가 명치아래로 막힌 느낌이요.,b6,무언가 명치 아래 로 막히다 느낌 이 요
329,그런데 언제 부터인가 명치 부분이 좀 아프더라고요.,b6,그런데 언제 부터 인가 명치 부분 이 좀 아프다
248,일단 구토하기전에 낮에 라면먹었고 저녁에 차안에서 새우깡먹고 바로 삶은고구마를 먹었습니다.,b6,일단 구토 하다 낮 에 라면 먹다 저녁 에 차안 에서 새우깡 먹다 바로 삶다 고구마 를 먹다
32,현재 증상은 다시 물설사가 나오고 있고 식사를 다 마치지 않았는데도 벌써 트림이 나오고 먹고 나서도 답답한게 명치를 두드려서 억지로 트림을 하는 습관까지 생길 정도네요.,b6,현재 증상 은 다시 물 설사 가 나오다 있다 식사 를 다 마치 지 않다 벌써 트림 이 나오다   먹다 나서다 답답하다 명치 를 두드리다   억지로 트림 을 하다 습관 까지 생기다 정도 네 요
238,오늘 8월1일 오늘도 점심먹고 토사물 바로 토해냈어요.,b6,오늘 8월 1일 오늘 도 점심 먹다 토 사물 바로 토 해내다
228,구토를 하는데 명치부근이 갑자기 통증이 오는데 엄청 아픕니다.,b6,구토 를 하다 명치 부근 이 갑자기 통증 이 오다 엄청 아프다
344,토한이후에 가스활명수 하나먹었는데 명치 아직도 찌르는것처럼 아프고 속이 너무 쓰리네요.,b6,토 한 이후 에 가스 활 명수 하나 먹다 명치 아직도 찌르다 아프다 속이다 너무 쓰리다
379,명치와 그 주분이 콕콕 쑤시듯 아팠고,b6,명치 와 그 주 분 이 콕콕 쑤시다 아프다
101,항상 점심을 먹고 나면 계속 소화가 안되고 명치쪽에 얹힌듯한 느낌이 듭니다.,b6,항상 점심 을 먹다 나다 계속 소화 가 안되다 명치 쪽 에 얹히다 한 느낌 이 듭니 다
27,어제부턴 윗배가 아프더니 오늘은 명치 밑 배 부위가 다 아픕니다.,b6,어제 부턴 윗 배 가 아프다 오늘 은 명치 밑 배 부위 가 다 아프다
99,식사후 두세번은 괜찮다가 저녁늦게 되면 신트림하는거같고 트림을하면 목이 막 갈증나고 타들어가는 느낌하고 명치위쪽부터 막 쓰리거든요 이거 왜그런걸까요?,b6,식사 후 두세 번은 괜찮다   저녁 늦다 되다 신트림 하다 같다 트림 을 하다 목 이 막 갈증 나다 타 들어가다 느낌 하고 명치 위쪽 부터 막   쓰리다 이 거 왜 그런 걸 끄다
271,명치아랫부분을누루면 좌우로 광범위하게아프고누르지않으면 위통처럼 명치아래만아픕니다.,b6,명치 아랫 부분 을 누루 면 좌우 로 광범위하다 아프다 누르다 않다 위통 처럼 명치 아래 만 아프다
249,지금 일어났는데 질문처럼 속이울렁거리고 명치가 답답하고 구토올라오고 미치겠네요.,b6,지금 일어나다 질문 처럼 속이다 울렁거리다 명치 가 답답하다 구토 올라오다 미치다
346,명치부근은 한 몇일전부터 느끼기 시작한거같습니다.,b6,명치 부근 은 하다 몇 일전 부터 느끼다 시 작 한 거 같다
130,살도 조금씩 빠지기 시작하는데 가만히 누어잇으면아랫배도 콕콕 쑤시고 명치도 누른것처럼 아파오네요.,b6,살 도 조금씩 빠지다 시작 하다 가만히 누 어 잇다 아랫 배 도 콕콕 쑤시다 명치 도 누르다 아프다
156,닭을 먹고 그날 새벽부터 명치쪽이 쪼여오면서너무 아픕니다.,b6,닭 을 먹다 그날 새벽 부터 명치 쪽 이 쪼이다 너무 아프다
136,증상이 심해지더니 저번주 금요일엔 집 오는 길에 명치쪽이계속 압박되다가 갑자기 어질어질해져서몸에 힘도 풀리는것 같다가 정신차리고버티면서 집까지 왔습니다.,b6,증상 이 심해지다 저번 주 금요일 엔 집 오다 길 에 명치 쪽 이 계속 압박 되다 갑자기 어질어질하다 몸 에 힘 도 풀리다 같다 정신차리다 버티다 집 까지 오다
224,명치쪽 위가 계속 아픕니다.,b6,명치 쪽 위 가 계속 아프다
258,토하면 또 명치가너무아프고,b6,토 하다 또 명치 가 너무 아프다
203,이번년도 2월달에 명치가 계속아파 고대에서 위내시경을했는데 깨끗했거든요 물론 그이후로도 명치가아팠지만 이상 없다니 신경 안썼구요.,b6,이번 년도 2월 달에 명치 가 계속 아프다 고대 에서 위 내시경 을 하다 깨끗하다 물론 그 이후 로 도 명치 가 아프다 이상 없다 신경 안 써다
246,명치쪽여통증이오고요.,b6,명치 쪽 여 통증 이 오 고요
229,근데 지금 명치쪽이 되게 먹먹하달까 구역질은 안 나는데 되게 답답해요.,b6,근데 지금 명치 쪽 이 되게 먹다 먹다 달다 구역질 은 안 나다 되게 답답하다
61,근데 2~3년 전부터 명치 쪽에 답답함을 자주 느끼고 또 같은 위치에 두드러기 여드름 비슷한게 생기기 시작하더니 이젠 점도 크게 생겼어요.,b6,근데 2~3년 전 부터 명치 쪽 에 답답하다 자주 느끼다 또 같다 위치 에 두드러기 여드름 비슷하다 생기다 시작 하다 이 젠 점도 크게 생기다
305,그 다음날 또 명치쪽 윗배가 아파와 응급실을 가니 위염이라 하여 링겔맞고 발열이 있던게 낫고 잤습니다.,b6,그 다음 날 또 명치 쪽 윗 배 가 아프다 응급실 을 가다 위염 이라 하다 링겔맞 고 발열 이 있다 낫 고 자다
78,"일주일에 한번찍 주기적으로 침을맞고 한달치 한약 알약으로되어있는 한약소화제,양배추즙,카베진 유산균 가루,정말 힘들때는 오따이상 섭취후 손을땁니닥가장불편한점은 명치부분이 항상 답답하고배는 정말딱딱합니다.",b6,일주일 에 한번 찍 주 기적 으로 침 을 맞다 한 달치 한약 알약 으로 되어다 한 약 소 화제 양배추 즙 카베 진 유산균 가루 정말 힘들다 때 는 오 따다 이상 섭취 후 손 을 따다 닥 가장 불편하다 점 은 명치 부분 이 항상 답답하다 배다 정말 딱딱하다
187,어제부터 무언갈 먹을때 마다 명치쪽이 계속 막혔습니다.,b6,어제 부터 무언 갈다 먹다 때 마다 명치 쪽 이 계속 막히다
134,가슴쪽 명치라고해야되나 거기가 늘 답답하고 목구멍에서 음식이 안넘어갑니다.,b6,가슴 쪽 명치 라고 하다 나 거기 가 늘 답답하다   목구멍 에서 음식 이 안 넘어가다
298,3 명치쪽이 쥐였다 폇다하는 싸~한느낌이 있구요.,b6,3 명치 쪽 이 쥐다 폇다하 는 싸다 한 느낌 이 있다
19,요근래엔 명치부터 배꼽주변까지 통증이 있고 식은땀이 날정도로아프네요.,b6,요 근래 엔 명치 부터 배꼽 주변 까지 통증 이 있다 식은땀 이 날 정도 로 아프다
9,10일 전 부터 웃으면 오른쪽 갈비뼈 아래 명치 오른쪽이 아파서 스트레스인가 싶었는데 계속 숨을 크게 쉬거나 배에 힘주고 웃으면 너무 아파서 눈물이 날 정도로 명치가 뜨겁고 아픕니다.,b6,10일 전 부터 웃다 오른쪽 갈비뼈 아래 명치 오른쪽 이 아프다 스트레스 인가 싶다 계속 숨 을 크게 쉬다 배 에 힘주다 웃다 너무 아프다 눈물 이 날 정도 로 명치 가 뜨겁다 아프다
